date,category,description,amount,payment_method,fixed,essential,satisfaction
2026-01-01,식비,김밥천국,19000,현금,False,True,
2026-01-01,교통비,택시,5000,체크카드,False,False,2.0
2026-01-01,교통비,GS칼텍스,10000,계좌이체,False,False,3.0
2026-01-01,식비,스타벅스,18000,체크카드,False,False,3.0
2026-01-01,식비,삼겹살집,23000,신용카드,False,False,2.0
2026-01-01,교육,인프런,80000,현금,True,True,
2026-01-01,주거/통신,관리비,25000,계좌이체,True,True,
2026-01-01,교통비,코레일,7800,현금,False,True,
2026-01-02,교통비,버스,7900,현금,False,True,
2026-01-02,쇼핑,무인양품,78000,계좌이체,False,False,3.0
2026-01-02,식비,삼겹살집,22000,체크카드,False,False,4.0
2026-01-02,의료/건강,헬스장할부,8000,신용카드,False,True,
2026-01-02,식비,투썸플레이스,9000,계좌이체,False,False,2.0
2026-01-03,문화/여가,PC방,27000,현금,False,False,5.0
2026-01-03,식비,삼겹살집,12000,계좌이체,False,False,4.0
2026-01-03,문화/여가,ChatGPT,14000,신용카드,True,False,3.0
2026-01-03,교통비,버스,9700,현금,False,True,
2026-01-04,문화/여가,넷플릭스,13000,신용카드,True,False,4.0
2026-01-04,식비,구내식당,14000,계좌이체,False,True,
2026-01-04,문화/여가,CGV,39000,현금,False,False,5.0
2026-01-04,쇼핑,무인양품,23000,계좌이체,False,False,3.0
2026-01-04,식비,쿠팡이츠,25000,계좌이체,False,False,5.0
2026-01-05,쇼핑,다이소,17000,현금,False,True,
2026-01-05,식비,김밥천국,9000,현금,False,False,1.0
2026-01-05,교통비,지하철,5000,현금,False,True,
2026-01-05,교통비,GS칼텍스,6400,신용카드,False,True,
2026-01-06,교육,토익접수,70000,체크카드,True,True,
2026-01-06,주거/통신,SKT통신비,15000,계좌이체,True,True,
2026-01-06,식비,스타벅스,4000,계좌이체,False,False,2.0
2026-01-06,쇼핑,유니클로,139000,신용카드,False,False,3.0
2026-01-06,식비,삼겹살집,9000,신용카드,False,False,3.0
2026-01-07,쇼핑,유니클로,143000,신용카드,False,False,2.0
2026-01-07,식비,이마트24,8000,체크카드,False,True,
2026-01-07,식비,배달의민족,15000,계좌이체,False,False,3.0
2026-01-08,식비,맥도날드,5000,체크카드,False,True,
2026-01-08,교통비,코레일,3800,계좌이체,False,False,4.0
2026-01-08,교통비,택시,5700,신용카드,False,False,2.0
2026-01-08,식비,스타벅스,25000,체크카드,False,False,4.0
2026-01-09,식비,김밥천국,15000,현금,False,False,4.0
2026-01-09,쇼핑,쿠팡,77000,계좌이체,False,True,
2026-01-09,식비,이마트24,25000,계좌이체,False,True,
2026-01-10,쇼핑,쿠팡,24000,신용카드,False,False,4.0
2026-01-10,식비,쿠팡이츠,25000,현금,False,False,1.0
2026-01-11,식비,쿠팡이츠,24000,체크카드,False,False,2.0
2026-01-12,식비,이마트24,16000,체크카드,False,True,
2026-01-12,쇼핑,무신사,92000,현금,False,False,3.0
2026-01-12,교통비,버스,4400,계좌이체,False,True,
2026-01-12,주거/통신,도시가스,40000,계좌이체,True,True,
2026-01-13,문화/여가,교보문고,25000,계좌이체,False,False,5.0
2026-01-13,식비,맥도날드,10000,신용카드,False,False,4.0
2026-01-13,식비,쿠팡이츠,22000,체크카드,False,False,1.0
2026-01-13,교육,인프런,90000,체크카드,True,True,
2026-01-13,문화/여가,야구장,23000,현금,False,False,2.0
2026-01-13,쇼핑,네이버쇼핑,136000,체크카드,False,True,
2026-01-13,식비,쿠팡이츠,24000,계좌이체,False,False,3.0
2026-01-14,식비,투썸플레이스,5000,계좌이체,False,False,5.0
2026-01-14,식비,스타벅스,17000,계좌이체,False,False,5.0
2026-01-14,교육,토익접수,40000,계좌이체,True,True,
2026-01-15,교육,토익접수,40000,체크카드,True,True,
2026-01-15,의료/건강,내과,7000,현금,False,True,
2026-01-15,쇼핑,유니클로,72000,신용카드,False,False,2.0
2026-01-15,식비,배달의민족,14000,체크카드,False,False,1.0
2026-01-15,쇼핑,무신사,136000,신용카드,False,False,5.0
2026-01-15,문화/여가,유튜브프리미엄,14000,신용카드,True,False,4.0
2026-01-16,식비,쿠팡이츠,22000,현금,False,False,4.0
2026-01-16,쇼핑,다이소,96000,체크카드,False,True,
2026-01-16,식비,GS25,8000,신용카드,False,True,
2026-01-16,식비,스타벅스,5000,현금,False,False,3.0
2026-01-16,쇼핑,네이버쇼핑,23000,체크카드,False,False,4.0
2026-01-16,교육,인프런,100000,계좌이체,True,True,
2026-01-16,식비,김밥천국,16000,체크카드,False,True,
2026-01-16,문화/여가,볼링장,41000,체크카드,False,False,5.0
2026-01-17,쇼핑,무인양품,134000,계좌이체,False,False,3.0
2026-01-17,식비,스타벅스,19000,신용카드,False,False,2.0
2026-01-17,교통비,버스,7900,계좌이체,False,True,
2026-01-17,의료/건강,헬스장할부,24000,신용카드,False,True,
2026-01-18,쇼핑,유니클로,45000,현금,False,False,1.0
2026-01-18,의료/건강,약국,47000,계좌이체,False,True,
2026-01-18,식비,GS25,8000,체크카드,False,False,2.0
2026-01-18,문화/여가,멜론,13000,신용카드,True,False,4.0
2026-01-19,주거/통신,인터넷요금,50000,계좌이체,True,True,
2026-01-19,기타,더치페이,70000,현금,False,False,4.0
2026-01-19,쇼핑,무신사,130000,체크카드,False,False,4.0
2026-01-20,쇼핑,네이버쇼핑,24000,현금,False,False,3.0
2026-01-20,식비,삼겹살집,14000,현금,False,False,4.0
2026-01-20,문화/여가,쿠팡와우,14000,신용카드,True,False,4.0
2026-01-20,식비,구내식당,15000,신용카드,False,False,5.0
2026-01-20,식비,스타벅스,13000,현금,False,False,5.0
2026-01-21,쇼핑,무인양품,42000,신용카드,False,False,5.0
2026-01-22,식비,투썸플레이스,23000,계좌이체,False,False,4.0
2026-01-22,쇼핑,무인양품,12000,계좌이체,False,False,4.0
2026-01-22,교통비,카카오T,9300,체크카드,False,True,
2026-01-23,식비,구내식당,8000,체크카드,False,True,
2026-01-23,식비,이마트24,18000,신용카드,False,True,
